id_str,from_user,text,created_at,time,in_reply_to_user_id,user_followers_count,friends_count
1318073002525773824,radithew_adith,"@ipakha_ Asnawi emang lagi under perfom gara-gara sempat cedera kemarin di seagames. Baru sembuh juga. 
Mungkin dia… https://t.co/MEibYV844E",2022-06-11 21:46:59,2022-06-12 14:16:21,4754466313,285,622
350235874,Nawwafeko7,@baboonberbicara Ti seagames keneh kitu wae teuing kunaon,2022-06-11 21:31:38,2022-06-12 14:16:21,436729659,351,350
3023787270,Supriman12,@naoneafi Asnawi hamstringnya kena pas seagames + Ansan ..,2022-06-11 21:29:18,2022-06-12 14:16:21,1373330717166292993,726,247
1426639827324182531,pnikmat_bola,"@idextratime Sudah sejak seagames maennya bapuk banget ini asnawi, modal semangat aja.",2022-06-11 21:12:42,2022-06-12 14:16:21,1222927522033094656,0,110
1420317348372697088,anggiapkd12,"@PSSI yang ada semoga pssi di isi ketum wakil sama exco orang yang benar, jangan yang aneh” nuntut juara aff sama s… https://t.co/pcJJXXTCgx",2022-06-11 21:03:23,2022-06-12 14:16:21,2363027508,1,32
2438094319,kopisianida18,"Setelah mendapat Gold d seagames utk debutnya semua yg bicara sperti itu bungkam kn? hehe
and now mereka DIM bisa s… https://t.co/CQ4e7t8bxR",2022-06-11 20:21:48,2022-06-12 14:16:21,2438094319,334,31
383358668,RafiKhabibi27,"@muliatamaputra Mungkin juga ya, tapi kok adoh main e pas seagames ambek saiki. Padahal Mayoritas pemain e tetep.… https://t.co/1j9bZfGnyk",2022-06-11 20:18:38,2022-06-12 14:16:21,257397623,363,364
383358668,RafiKhabibi27,"Transisi, aliran bola, posisi pemain. Enak didelok daripada pas seagames wkwkk",2022-06-11 20:01:02,2022-06-12 14:16:21,,363,364
1420317348372697088,anggiapkd12,"@utdfocusid organisasi ampas, yang setiap kali ada pemimpin punya pemikiran pendek meski juara aff sama seagames, p… https://t.co/IBwGG8KLlJ",2022-06-11 19:52:46,2022-06-12 14:16:21,1345281599605075969,1,32
3023787270,Supriman12,@diberitaliga Main nya beda banget cokkk dari seagames sama AFF,2022-06-11 19:50:59,2022-06-12 14:16:21,1453216316610039817,726,247
596148640,wataermelon_,AFC Uzbek lawan Iraq serem banget woy. Baru 12 menit udah drama sikut2an sampe pinalti &amp; penjaga gawangnya dpt kart… https://t.co/iUav6BPC1r,2022-06-11 16:29:54,2022-06-12 14:16:21,,738,923
780770959099736065,DevriSetiadi,"@BWFScore Ayo fajri.
Basbul sudah all england
Pramyere sudah BAC
Babies sudah seagames
Tinggal fajri, walopun udah… https://t.co/qeaufjYeZl",2022-06-11 16:00:44,2022-06-12 14:16:21,2150444185,3,26
984436492490559490,DarusRangga,"@medioclubID Gw sumpahin, semisal sty tbtb di cut ditengah jalan, terus ke Singapore/laos, gw sumpahin JUARA, MAU AFF/SEAGAMES TERSERAH",2022-06-11 15:36:59,2022-06-12 14:16:21,2779927232,17,42
216034154,ErryNazrin,"Situasi junior clear tadi walaupun takde pressure sama……

Dengan situasi quentin pergi buat silly tackle vs vietnam… https://t.co/Dy8XceNoKE",2022-06-11 15:22:49,2022-06-12 14:16:21,,639,314
235167042,seagames_ps,RT @sakumikuss: HYOLYN?!!! https://t.co/1GlDikQm6O,2022-06-11 15:22:31,2022-06-12 14:16:21,,251,214
946491466146234368,perkedeeldeel,@cicicieyy Nanti aja ci kalo uda masuk seagames baru ikut,2022-06-11 14:33:22,2022-06-12 14:16:21,1272377339108659201,5018,4295
1930375926,yudhaepa,@indosupporter Njir seagames di jadikan tolak ukur,2022-06-11 14:25:21,2022-06-12 14:16:21,110109093,18,35
1652787985,Alamturner,"Drian paling emosi sih, tejuara mpl, gagal masuk seagames, jadi tim yang pulang pertama di msc 😔",2022-06-11 13:50:15,2022-06-12 14:16:21,1652787985,189,225
