id_str,from_user,text,created_at,time,in_reply_to_user_id,user_followers_count,friends_count
1280406380227121152,FrNurfaiz,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 07:50:11,2022-06-12 12:03:06,,62,511
1299949602494230528,yourlvrs,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 06:45:14,2022-06-12 12:03:06,,6,36
79716082,ghifaripp,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 06:30:36,2022-06-12 12:03:06,,682,424
869204751606366208,harypanji_p,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 06:23:33,2022-06-12 12:03:06,,93,474
1448909363205136399,155Gooners,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 06:12:41,2022-06-12 12:03:06,,5,97
54847910,rlrrlrll_ID,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 06:00:39,2022-06-12 12:03:06,,856,2652
1106489859714093058,zakyadn_,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 06:00:07,2022-06-12 12:03:06,,166,409
706725014,Roedi_TL,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 05:58:13,2022-06-12 12:03:06,,23,285
1087174249557553153,rahmatsett,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 05:54:34,2022-06-12 12:03:06,,273,236
910023336,_rizkykurniap22,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 05:53:38,2022-06-12 12:03:06,,439,640
1425662168276496385,manlii3,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 05:41:58,2022-06-12 12:03:06,,2,53
1251661214,nestomakatita16,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 05:41:13,2022-06-12 12:03:06,,306,1039
105320237,Anonim6948,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 05:23:26,2022-06-12 12:03:06,,75,916
1232920027793260544,tezzar_sg,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 04:53:05,2022-06-12 12:03:06,,111,124
155433256,ilham_gundoel,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 04:43:18,2022-06-12 12:03:06,,346,685
2929923385,marc_fx03,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 04:42:22,2022-06-12 12:03:06,,69,1527
951101750001324034,dewisuryaa_,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 04:38:57,2022-06-12 12:03:06,,471,1165
1042398647919341569,gwrangermerah,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 04:23:05,2022-06-12 12:03:06,,135,121
372403553,Fian_BoysSan,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 03:39:40,2022-06-12 12:03:06,,541,387
1199678461410828294,akbarmv_,"RT @GOAL_ID: ""Bendera adalah wajah negara, jadi harus dihargai."" 

Shin Tae-yong buka suara terkait momen viral di #SEAGames2021 itu dalam…",2022-06-10 03:30:26,2022-06-12 12:03:06,,14,120
